FY14,JOIN14,COUNTY14,CODISTSCH14,SCHOOLNAME14,SCHOOLTYPE14,GRADE14,ENROLLED14,FREEREDUCED14,PERCENT14,WARNING14,CEP14
2014-2015,SCOTTS BLUFF-MITCHELL SECONDARY SCHOOL,SCOTTS BLUFF,790031001,MITCHELL SECONDARY SCHOOL,SECONDARY                     ,2016-07-12,307,122,0.3974,,
2014-2015,SCOTTS BLUFF-MITCHELL ELEMENTARY SCHOOL,SCOTTS BLUFF,790031002,MITCHELL ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,391,171,0.4373,,
2014-2015,SCOTTS BLUFF-SCOTTSBLUFF SENIOR HIGH SCHOOL,SCOTTS BLUFF,790032001,SCOTTSBLUFF SENIOR HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,872,416,0.4771,,
2014-2015,SCOTTS BLUFF-BLUFFS MIDDLE SCHOOL,SCOTTS BLUFF,790032002,BLUFFS MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,738,460,0.6233,,
2014-2015,SCOTTS BLUFF-LINCOLN HEIGHTS ELEMENTARY SCH,SCOTTS BLUFF,790032003,LINCOLN HEIGHTS ELEMENTARY SCH,ELEMENTARY                    ,K -05,305,209,0.6852,,
2014-2015,SCOTTS BLUFF-LONGFELLOW ELEMENTARY SCHOOL,SCOTTS BLUFF,790032004,LONGFELLOW ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,434,231,0.5323,,
2014-2015,SCOTTS BLUFF-ROOSEVELT ELEMENTARY SCHOOL,SCOTTS BLUFF,790032005,ROOSEVELT ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,326,295,0.9049,,
2014-2015,SCOTTS BLUFF-WESTMOOR ELEMENTARY SCHOOL,SCOTTS BLUFF,790032006,WESTMOOR ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,438,248,0.5662,,
2014-2015,SCOTTS BLUFF-LAKE MINATARE SCHOOL,SCOTTS BLUFF,790032008,LAKE MINATARE SCHOOL,ELEMENTARY                    ,K -05,70,33,0.4714,,
2014-2015,SCOTTS BLUFF-EARLY CHILDHOOD LEARNING CENTER,SCOTTS BLUFF,790032010,EARLY CHILDHOOD LEARNING CENTER,PREK ONLY                     ,PK-PK,110,76,0.6909,,
2014-2015,SCOTTS BLUFF-ST AGNES ELEMENTARY SCHOOL,SCOTTS BLUFF,790702001,ST AGNES ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,111,26,0.2342,,
2014-2015,SCOTTS BLUFF-VALLEY VIEW SDA CHRISTIAN SCH,SCOTTS BLUFF,790703001,VALLEY VIEW SDA CHRISTIAN SCH,ELEMENTARY                    ,2016-01-08,8,,,MASKED DATA,
2014-2015,SCOTTS BLUFF-COMMUNITY CHRISTIAN ELEMENTARY,SCOTTS BLUFF,790705001,COMMUNITY CHRISTIAN ELEMENTARY,ELEMENTARY                    ,PK-05,141,,,MASKED DATA,
2014-2015,SCOTTS BLUFF-COMMUNITY CHRISTIAN JR HIGH,SCOTTS BLUFF,790705002,COMMUNITY CHRISTIAN JR HIGH,MIDDLE SCHOOL                 ,2016-06-08,27,,,MASKED DATA,
2014-2015,SEWARD-MILFORD HIGH SCHOOL,SEWARD,800005001,MILFORD HIGH SCHOOL,SECONDARY                     ,2016-07-12,325,60,0.1846,,
2014-2015,SEWARD-MILFORD ELEMENTARY SCHOOL,SEWARD,800005002,MILFORD ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,370,79,0.2135,,
2014-2015,SEWARD-SEWARD HIGH SCHOOL,SEWARD,800009001,SEWARD HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,511,110,0.2153,,
2014-2015,SEWARD-SEWARD MIDDLE SCHOOL,SEWARD,800009002,SEWARD MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-05-08,415,106,0.2554,,
2014-2015,SEWARD-SEWARD ELEMENTARY SCHOOL,SEWARD,800009003,SEWARD ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-04,497,129,0.2596,,
2014-2015,SEWARD-CENTENNIAL JR-SR HIGH SCHOOL,SEWARD,800567001,CENTENNIAL JR-SR HIGH SCHOOL,SECONDARY                     ,2016-07-12,209,77,0.3684,,
2014-2015,SEWARD-CENTENNIAL ELEMENTARY SCHOOL,SEWARD,800567002,CENTENNIAL ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,231,103,0.4459,,
2014-2015,SEWARD-ST JOHN LUTHERAN ELEM SCHOOL,SEWARD,800701002,ST JOHN LUTHERAN ELEM SCHOOL,ELEMENTARY                    ,K -08,165,24,0.1455,,
2014-2015,SEWARD-OUR REDEEMER LUTHERAN ELEM SCH,SEWARD,800703001,OUR REDEEMER LUTHERAN ELEM SCH,ELEMENTARY                    ,PK-08,54,,,MASKED DATA,
2014-2015,SEWARD-ST PAUL'S LUTHERAN ELEM SCHOOL,SEWARD,800704001,ST PAUL'S LUTHERAN ELEM SCHOOL,ELEMENTARY                    ,PK-08,104,27,0.2596,,
2014-2015,SEWARD-ST VINCENT DEPAUL CATHOLIC SCH,SEWARD,800710001,ST VINCENT DEPAUL CATHOLIC SCH,ELEMENTARY                    ,PK-04,71,,,MASKED DATA,
2014-2015,SHERIDAN-HAY SPRINGS HIGH SCHOOL,SHERIDAN,810003001,HAY SPRINGS HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,52,24,0.4615,,
2014-2015,SHERIDAN-HAY SPRINGS ELEMENTARY SCHOOL,SHERIDAN,810003002,HAY SPRINGS ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,72,39,0.5417,,
2014-2015,SHERIDAN-HAY SPRINGS MIDDLE SCHOOL,SHERIDAN,810003003,HAY SPRINGS MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,32,17,0.5313,,
2014-2015,SHERIDAN-HAY SPRINGS EARLY CHILDHOOD,SHERIDAN,810003006,HAY SPRINGS EARLY CHILDHOOD,PREK ONLY                     ,PK-PK,17,,,MASKED DATA,
2014-2015,SHERIDAN-GORDON-RUSHVILLE HIGH SCHOOL,SHERIDAN,810010001,GORDON-RUSHVILLE HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,190,97,0.5105,,
2014-2015,SHERIDAN-MERRIMAN SCHOOL,SHERIDAN,810010003,MERRIMAN SCHOOL,ELEMENTARY                    ,K -08,16,11,0.6875,,
2014-2015,SHERIDAN-EXTENSION SCHOOL,SHERIDAN,810010009,EXTENSION SCHOOL,ELEMENTARY                    ,K -08,7,,,MASKED DATA,
2014-2015,SHERIDAN-GORDON-RUSHVILLE ELEM-GORDON,SHERIDAN,810010013,GORDON-RUSHVILLE ELEM-GORDON,ELEMENTARY                    ,PK-05,188,125,0.6649,,
2014-2015,SHERIDAN-GORDON-RUSHVILLE ELE-RUSHVILLE,SHERIDAN,810010014,GORDON-RUSHVILLE ELE-RUSHVILLE,ELEMENTARY                    ,PK-05,111,60,0.5405,,
2014-2015,SHERIDAN-GORDON-RUSHVILLE MIDDLE SCHOOL,SHERIDAN,810010015,GORDON-RUSHVILLE MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,155,84,0.5419,,
2014-2015,SHERIDAN-LAKESIDE SCHOOL,SHERIDAN,810010016,LAKESIDE SCHOOL,ELEMENTARY                    ,K -08,3,,,MASKED DATA,
2014-2015,SHERMAN-LOUP CITY HIGH SCHOOL,SHERMAN,820001001,LOUP CITY HIGH SCHOOL,SECONDARY                     ,2016-07-12,130,59,0.4538,,
2014-2015,SHERMAN-LOUP CITY ELEMENTARY SCHOOL,SHERMAN,820001002,LOUP CITY ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,207,79,0.3816,,
2014-2015,SHERMAN-LITCHFIELD HIGH SCHOOL,SHERMAN,820015001,LITCHFIELD HIGH SCHOOL,SECONDARY                     ,2016-07-12,57,34,0.5965,,
2014-2015,SHERMAN-LITCHFIELD ELEMENTARY SCHOOL,SHERMAN,820015002,LITCHFIELD ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,50,28,0.56,,
2014-2015,SIOUX-SIOUX COUNTY HIGH SCHOOL,SIOUX,830500001,SIOUX COUNTY HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,25,,,MASKED DATA,
2014-2015,SIOUX-HARRISON GRADE SCHOOL,SIOUX,830500004,HARRISON GRADE SCHOOL,ELEMENTARY                    ,PK-08,48,15,0.3125,,
2014-2015,SIOUX-PINK SCHOOL,SIOUX,830500006,PINK SCHOOL,ELEMENTARY                    ,K -08,9,,,MASKED DATA,
2014-2015,SIOUX-PANHANDLE SCHOOL,SIOUX,830500008,PANHANDLE SCHOOL,ELEMENTARY                    ,K -08,4,,,MASKED DATA,
2014-2015,SIOUX-CHALK BUTTE SCHOOL,SIOUX,830500009,CHALK BUTTE SCHOOL,ELEMENTARY                    ,K -08,13,,,MASKED DATA,
2014-2015,STANTON-STANTON HIGH SCHOOL,STANTON,840003001,STANTON HIGH SCHOOL,SECONDARY                     ,2016-07-12,226,95,0.4204,,
2014-2015,STANTON-STANTON ELEMENTARY SCHOOL,STANTON,840003002,STANTON ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,239,105,0.4393,,
2014-2015,THAYER-DESHLER HIGH SCHOOL,THAYER,850060001,DESHLER HIGH SCHOOL,SECONDARY                     ,2016-07-12,114,24,0.2105,,
2014-2015,THAYER-DESHLER ELEMENTARY SCHOOL,THAYER,850060002,DESHLER ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,141,57,0.4043,,
2014-2015,THAYER-THAYER CENTRAL HIGH SCHOOL,THAYER,850070001,THAYER CENTRAL HIGH SCHOOL,SECONDARY                     ,2016-07-12,175,54,0.3086,,
2014-2015,THAYER-THAYER CENTRAL INTERMEDIATE,THAYER,850070003,THAYER CENTRAL INTERMEDIATE,ELEMENTARY                    ,2016-02-06,142,39,0.2746,,
2014-2015,THAYER-THAYER CENTRAL PRIMARY SCHOOL,THAYER,850070004,THAYER CENTRAL PRIMARY SCHOOL,ELEMENTARY                    ,PK-01,107,34,0.3178,,
2014-2015,THAYER-BRUNING-DAVENPORT HIGH SCHOOL,THAYER,852001001,BRUNING-DAVENPORT HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,55,12,0.2182,,
2014-2015,THAYER-BRUNING-DAVENPORT MIDDLE SCH,THAYER,852001002,BRUNING-DAVENPORT MIDDLE SCH,MIDDLE SCHOOL                 ,2016-05-08,38,11,0.2895,,
2014-2015,THAYER-BRUNING-DAVENPORT ELEM/BRUNING,THAYER,852001003,BRUNING-DAVENPORT ELEM/BRUNING,ELEMENTARY                    ,PK-01,43,15,0.3488,,
2014-2015,THAYER-BRUNING-DAVENPORT ELEM/DAVENPT,THAYER,852001004,BRUNING-DAVENPORT ELEM/DAVENPT,ELEMENTARY                    ,2016-02-04,39,12,0.3077,,
2014-2015,THOMAS-THEDFORD HIGH SCHOOL,THOMAS,860001001,THEDFORD HIGH SCHOOL,SECONDARY                     ,2016-07-12,41,15,0.3659,,
2014-2015,THOMAS-THEDFORD ELEM ATTENDANCE CNTR,THOMAS,860001003,THEDFORD ELEM ATTENDANCE CNTR,ELEMENTARY                    ,PK-06,61,39,0.6393,,
2014-2015,THOMAS-PEACEFUL PLAINS ELEMENTARY,THOMAS,860001004,PEACEFUL PLAINS ELEMENTARY,ELEMENTARY                    ,K -06,12,,,MASKED DATA,
2014-2015,THURSTON-PENDER HIGH SCHOOL,THURSTON,870001001,PENDER HIGH SCHOOL,SECONDARY                     ,2016-07-12,135,33,0.2444,,
2014-2015,THURSTON-PENDER ELEMENTARY SCHOOL,THURSTON,870001003,PENDER ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,220,53,0.2409,,
2014-2015,THURSTON-WALTHILL HIGH SCHOOL,THURSTON,870013001,WALTHILL HIGH SCHOOL,SECONDARY                     ,2016-07-12,152,121,0.7961,,
2014-2015,THURSTON-WALTHILL ELEMENTARY SCHOOL,THURSTON,870013002,WALTHILL ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,263,186,0.7072,,
2014-2015,THURSTON-UMO N HO N NATION HIGH SCHOOL,THURSTON,870016001,UMO N HO N NATION HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,94,81,0.8617,,
2014-2015,THURSTON-UMO N HO N NATION ELEM SCHOOL,THURSTON,870016002,UMO N HO N NATION ELEM SCHOOL,ELEMENTARY                    ,PK-06,339,322,0.9499,,
2014-2015,THURSTON-UMO N HO N NATION MIDDLE SCH,THURSTON,870016003,UMO N HO N NATION MIDDLE SCH,MIDDLE SCHOOL                 ,2016-07-08,65,61,0.9385,,
2014-2015,THURSTON-WINNEBAGO HIGH SCHOOL,THURSTON,870017001,WINNEBAGO HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,148,116,0.7838,,
2014-2015,THURSTON-WINNEBAGO ELEMENTARY SCHOOL,THURSTON,870017002,WINNEBAGO ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-08,434,356,0.8203,,
2014-2015,THURSTON-ST AUGUSTINE ELEMENTARY SCH,THURSTON,870701001,ST AUGUSTINE ELEMENTARY SCH,ELEMENTARY                    ,K -08,109,85,0.7798,,
2014-2015,VALLEY-ORD JR-SR HIGH SCHOOL,VALLEY,880005001,ORD JR-SR HIGH SCHOOL,SECONDARY                     ,2016-07-12,270,82,0.3037,,
2014-2015,VALLEY-ORD ELEMENTARY SCHOOL,VALLEY,880005002,ORD ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,310,148,0.4774,,
2014-2015,VALLEY-VINTON SCHOOL,VALLEY,880005004,VINTON SCHOOL,ELEMENTARY                    ,K -08,37,12,0.3243,,
2014-2015,VALLEY-ARCADIA HIGH SCHOOL,VALLEY,880021001,ARCADIA HIGH SCHOOL,SECONDARY                     ,2016-07-12,66,30,0.4545,,
2014-2015,VALLEY-ARCADIA ELEMENTARY SCHOOL,VALLEY,880021002,ARCADIA ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,58,30,0.5172,,
2014-2015,VALLEY-ST MARY'S ELEMENTARY SCHOOL,VALLEY,880701001,ST MARY'S ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,41,19,0.4634,,
2014-2015,WASHINGTON-BLAIR HIGH SCHOOL,WASHINGTON,890001001,BLAIR HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,709,129,0.1819,,
2014-2015,WASHINGTON-BLAIR NORTH ELEMENTARY SCHOOL,WASHINGTON,890001002,BLAIR NORTH ELEMENTARY SCHOOL,ELEMENTARY                    ,K -03,167,58,0.3473,,
2014-2015,WASHINGTON-BLAIR SOUTH ELEMENTARY SCHOOL,WASHINGTON,890001003,BLAIR SOUTH ELEMENTARY SCHOOL,ELEMENTARY                    ,K -03,172,45,0.2616,,
2014-2015,WASHINGTON-BLAIR WEST ELEMENTARY SCHOOL,WASHINGTON,890001004,BLAIR WEST ELEMENTARY SCHOOL,ELEMENTARY                    ,K -03,81,28,0.3457,,
2014-2015,WASHINGTON-BLAIR ARBOR PARK INTERMEDIATE SCHOOL,WASHINGTON,890001005,BLAIR ARBOR PARK INTERMEDIATE SCHOOL,ELEMENTARY                    ,2016-04-05,352,88,0.25,,
2014-2015,WASHINGTON-GERALD OTTE BLAIR MIDDLE SCH,WASHINGTON,890001006,GERALD OTTE BLAIR MIDDLE SCH,MIDDLE SCHOOL                 ,2016-06-08,548,133,0.2427,,
2014-2015,WASHINGTON-DEERFIELD ELEMENTARY SCHOOL,WASHINGTON,890001007,DEERFIELD ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-03,300,80,0.2667,,
2014-2015,WASHINGTON-FORT CALHOUN HIGH SCHOOL,WASHINGTON,890003001,FORT CALHOUN HIGH SCHOOL,SECONDARY                     ,2016-07-12,313,61,0.1949,,
2014-2015,WASHINGTON-FORT CALHOUN ELEMENTARY SCHOOL,WASHINGTON,890003002,FORT CALHOUN ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,299,50,0.1672,,
2014-2015,WASHINGTON-ARLINGTON HIGH SCHOOL,WASHINGTON,890024001,ARLINGTON HIGH SCHOOL,SECONDARY                     ,2016-07-12,279,47,0.1685,,
2014-2015,WASHINGTON-ARLINGTON ELEMENTARY SCHOOL,WASHINGTON,890024002,ARLINGTON ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,311,69,0.2219,,
2014-2015,WASHINGTON-ST PAUL'S LUTHERAN ELEM SCHOOL,WASHINGTON,890701001,ST PAUL'S LUTHERAN ELEM SCHOOL,ELEMENTARY                    ,PK-08,75,,,MASKED DATA,
2014-2015,WASHINGTON-IMMANUEL LUTHERAN ELEM SCHOOL,WASHINGTON,890702001,IMMANUEL LUTHERAN ELEM SCHOOL,ELEMENTARY                    ,K -03,7,,,MASKED DATA,
2014-2015,WAYNE-WAYNE HIGH SCHOOL,WAYNE,900017001,WAYNE HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,262,68,0.2595,,
2014-2015,WAYNE-WAYNE ELEMENTARY SCHOOL,WAYNE,900017005,WAYNE ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,478,186,0.3891,,
2014-2015,WAYNE-WAYNE JUNIOR HIGH SCHOOL,WAYNE,900017006,WAYNE JUNIOR HIGH SCHOOL,MIDDLE SCHOOL                 ,2016-07-08,146,51,0.3493,,
2014-2015,WAYNE-WAKEFIELD HIGH SCHOOL,WAYNE,900560001,WAKEFIELD HIGH SCHOOL,SECONDARY                     ,2016-07-12,195,99,0.5077,,
2014-2015,WAYNE-WAKEFIELD ELEMENTARY SCHOOL,WAYNE,900560002,WAKEFIELD ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,255,131,0.5137,,
2014-2015,WAYNE-WINSIDE HIGH SCHOOL,WAYNE,900595001,WINSIDE HIGH SCHOOL,SECONDARY                     ,2016-07-12,91,24,0.2637,,
2014-2015,WAYNE-WINSIDE ELEMENTARY SCHOOL,WAYNE,900595002,WINSIDE ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,122,51,0.418,,
2014-2015,WAYNE-TRINITY LUTHERAN ELEM SCHOOL,WAYNE,900701001,TRINITY LUTHERAN ELEM SCHOOL,ELEMENTARY                    ,PK-08,27,,,MASKED DATA,
2014-2015,WAYNE-TRINITY TINY TOT'S PRE-KDG,WAYNE,900701002,TRINITY TINY TOT'S PRE-KDG,PREK ONLY                     ,PK-PK,11,,,MASKED DATA,
2014-2015,WAYNE-ST MARY'S ELEMENTARY SCHOOL,WAYNE,900702001,ST MARY'S ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,39,,,MASKED DATA,
2014-2015,WEBSTER-RED CLOUD HIGH SCHOOL,WEBSTER,910002001,RED CLOUD HIGH SCHOOL,SECONDARY                     ,2016-07-12,91,49,0.5385,,
2014-2015,WEBSTER-RED CLOUD ELEMENTARY SCHOOL,WEBSTER,910002002,RED CLOUD ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,165,101,0.6121,,
2014-2015,WEBSTER-BLUE HILL HIGH SCHOOL,WEBSTER,910074001,BLUE HILL HIGH SCHOOL,SECONDARY                     ,2016-07-12,156,34,0.2179,,
2014-2015,WEBSTER-BLUE HILL ELEMENTARY SCHOOL,WEBSTER,910074002,BLUE HILL ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,179,57,0.3184,,
2014-2015,WHEELER-WHEELER CENTRAL HIGH,WHEELER,920045001,WHEELER CENTRAL HIGH,SECONDARY                     ,2016-07-12,39,24,0.6154,,
2014-2015,WHEELER-WHEELER CENTRAL ELEMENTARY #45,WHEELER,920045002,WHEELER CENTRAL ELEMENTARY #45,ELEMENTARY                    ,PK-06,53,29,0.5472,,
2014-2015,YORK-YORK HIGH SCHOOL,YORK,930012001,YORK HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,428,150,0.3505,,
2014-2015,YORK-YORK MIDDLE SCHOOL,YORK,930012003,YORK MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,269,121,0.4498,,
2014-2015,YORK-YORK ELEMENTARY SCHOOL,YORK,930012007,YORK ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,568,320,0.5634,,
2014-2015,YORK-PRESCHOOL LEARNING ACADEMY,YORK,930012008,PRESCHOOL LEARNING ACADEMY,PREK ONLY                     ,PK-PK,124,34,0.2742,,
2014-2015,YORK-MCCOOL JUNCTION JR-SR HIGH SCH,YORK,930083001,MCCOOL JUNCTION JR-SR HIGH SCH,SECONDARY                     ,2016-07-12,122,46,0.377,,
2014-2015,YORK-MC COOL JUNCTION ELEM SCHOOL,YORK,930083002,MC COOL JUNCTION ELEM SCHOOL,ELEMENTARY                    ,K -06,148,64,0.4324,,
2014-2015,YORK-HEARTLAND COMMUNITY HIGH SCH,YORK,930096001,HEARTLAND COMMUNITY HIGH SCH,SECONDARY                     ,2016-07-12,145,47,0.3241,,
2014-2015,YORK-HEARTLAND COMMUNITY ELEMENTARY,YORK,930096003,HEARTLAND COMMUNITY ELEMENTARY,ELEMENTARY                    ,PK-06,188,51,0.2713,,
2014-2015,YORK-EMMANUEL LUTHERAN ELEM SCHOOL,YORK,930701001,EMMANUEL LUTHERAN ELEM SCHOOL,ELEMENTARY                    ,K -08,145,54,0.3724,,
2014-2015,YORK-ST JOSEPH'S ELEMENTARY SCHOOL,YORK,930702001,ST JOSEPH'S ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-08,142,32,0.2254,,
2014-2015,YORK-NEBRASKA EV LUTHERAN HIGH,YORK,930703001,NEBRASKA EV LUTHERAN HIGH,HIGH SCHOOL                   ,2016-09-12,95,10,0.1053,,
2014-2015,YORK-TRINITY LUTHERAN GRADE SCHOOL,YORK,930703002,TRINITY LUTHERAN GRADE SCHOOL,ELEMENTARY                    ,K -08,26,,,MASKED DATA,
