SPILLNO-------,S,OWNCO--------------------,OWNSTREET-----------,OWNCITY-------------,OS,OZIP,TY,DIDATE----,SPLOC     -------------------------,SPCITY-------------------,SPCOUN-------------------,MATERIAL----------------------,SFM_ID--,FAC_NAME-----------------
102912-DB-1548,T,BOSSELMAN INC,PO BOX 4905,GRAND ISLAND,NE,68802,7,10/17/12,116 US HWY 30,CHAPMAN,MERRICK,GASOLINE & DIESEL FUEL,409,PUMP & PANTRY #5
061101-NM-1030,T,BOSSELMAN INC,3335 W WOOD RIVER RD,GRAND ISLAND,NE,68802,7,6/8/01,3335 W WOOD RIVER RD,GRAND ISLAND,HALL,"GASOLINE, DIESEL",426,BOSSELMAN TRAVEL CENTER
040298-NM-0800,T,BOUGE'S SINCLAIR,1001 GALVIN RD SOUTH,BELLEVUE,NE,68005,7,3/2/98,1001 GALVIN RD SOUTH,BELLEVUE,SARPY,GASOLINE & RACING FUEL,1545,BOUGE'S SINCLAIR
020392-MF-1430,9,BOYCES SINCLAIR,1517 M STREET,FRANKLIN,NE,68939,7,1/8/91,1517 M STREET,FRANKLIN,FRANKLIN,GASOLINE DIESEL,1917,FORMER BOYCES SINCLAIR
051295-KM-1600,T,BP AMOCO,2240 BLUESTONE DR,ST CHARLES,MO,63303,7,5/11/95,7140 DODGE,OMAHA,DOUGLAS,GASOLINE,485,AMOCO STATION 5118
052991-KM-1620,T,BP AMOCO,2240 BLUESTONE DR,ST CHARLES,MO,63303,7,5/29/91,"7202 F ST, NW CRNR 72 & F",OMAHA,DOUGLAS,"GASOLINE, WASTE OIL",496,RONS AMOCO STATION 5689
072099-TH-1129,2,"BPA, INC",11302 WRIGHT CIR,OMAHA,NE,68144,7,7/15/99,105 S 19TH ST,BLAIR,WASHINGTON,GASOLINE,3798,CUBBYS
062294-SM-0800,9,BRAINARD COOP,PO BOX 37,BRAINARD,NE,68626,13,5/20/91,COOP,BRAINARD,BUTLER,GASOLINE,3163,BRAINARD COOP
06290-EPP-0900,9,BREWER CONCRETE INC,1820 WEST A ST.,NORTH PLATTE,NE,69101,7,5/29/90,300 WEST 7TH,NORTH PLATTE,LINCOLN,DIESEL,6127,BREWER CONCRETE
121697-NM-0700,9,BREWSTER OIL CO,330 W DOUGLAS,ONEILL,NE,68763,7,12/12/97,330 W DOUGLAS,O'NEILL,HOLT,GASOLINE & DIESEL,6421,BREWSTER OIL CO
102792-CT-0630,2,BROADWELL FARMS INC,#13 ARBOR CT,YORK,NE,68467,7,10/26/92,RFD 3,YORK,YORK,DIESEL,7373,BROADWELL FARMS
011999-DB-1050,9,BRUNSWIG TRADING POST,,OGALLALA,NE,,7,1/16/99,,OGALLALA,KEITH,GASOLINE,UNKNO,MOOSE'S CLUB
082713-JF-1230,9,BUCKYS INC,4973 DODGE,OMAHA,NE,68144,7,8/25/13,107 S 40TH,OMAHA,DOUGLAS,GASOLINE,1251,BUCKY EXPRESS #10
031996-GW-1440,T,BUCKYS INC,PO BOX 31099,OMAHA,NE,68131,7,3/19/95,1014 S 72ND ST,OMAHA,DOUGLAS,GASOLINE,2882,BUCKY'S TEXACO 05
040312-TH-1125,2,BUCKYS INC,4973 DODGE ST,OMAHA,NE,68132,7,12/22/12,9509 S 144TH ST,OMAHA,DOUGLAS,"GASOLINE, DIESEL",1515,WALLYS PLACE
100611-KM-1340,9,BUCKYS INC,4973 DODGE,OMAHA,NE,68132,7,10/6/11,107 S 40TH,OMAHA,DOUGLAS,GASOLINE,1251,BUCKYS EXPRESS 40
092801-GW-1320,3,"BUD MOORE, INC",930 280TH ST,SEWARD,NE,68434,7,9/26/01,"930 280TH ST, SE I80 & HWY 15",SEWARD,SEWARD,"GASOLINE, DIESEL",673,SEWARD SHOP EZ
030494-GY-0000,9,BURNS BROTHERS INC,516 SE MORRISON,PORTLAND,OR,97214,7,6/16/96,74975 ROAD 444 (I-80 EXIT 248),OVERTON,DAWSON,GASOLINE,1113,BURNS BROTHERS TRK STOP
07186-BHI-1300,9,BURNS BROTHERS INC,516 SE MORRISON 1200,PORTLAND,OR,97214,13,7/18/86,BINGO TRUCK STOP I80 EXIT,OVERTON,DAWSON,DIESEL OIL,1113,OVERTON TRUCK STATION
09130-STM-1045,9,BURR COOP,333 MAIN STREET,BURR,NE,68324,7,6/7/90,333 MAIN STREET,BURR,OTOE,GASOLINE,3612,BURR COOP
051397-GW-1055,T,BURWELL INDEPENDENT OIL,PO BOX 668,BURWELL,NE,68823,7,5/12/97,"747 G"" ST""",BURWELL,GARFIELD,GASOLINE AND DIESEL,6648,BURWELL INDEPENDENT OIL
071693-GW-1400,2,BYRON SERVICE,PO BOX 133,BYRON,NE,68235,7,6/21/93,KANSAS & MADISON,BYRON,THAYER,"WASTE OIL,GAS,DIESEL",3108,BYRON SERVICE
011891-NW-1300,9,C & C SERVICE,BOX 257,WHITE CLAY,NE,69365,7,10/10/90,BOX 257,WHITECLAY,SHERIDAN,GASOLINE,5308,C & C SERVICE
122809-TH-1120,2,C & S BERRY INC,PO BOX 1064,MC COOK,NE,69001,7,1/6/10,502 EAST B ST,MC COOK,RED WILLOW,"GASOLINE, DIESEL",2680,STEVES TOTAL
071493-NM-1425,2,C S POOTS ESTATE,9341 WALNUT,OMAHA,NE,68124,7,6/3/91,4902 S 26TH,OMAHA,DOUGLAS,GASOLINE DIESEL,1422,MURIEL E POOTS PROPERTY
10220-NEW-0930,9,CALS BEST SERVICE,102 SO. CARROLL,ARNOLD,NE,69120,7,8/14/90,"102 SO. CARROLL ARNOLD, NE.,",ARNOLD,CUSTER,GASOLINE AND DIESEL,6361,CALS BEST SERVICE
092993-EL-0845,9,CAMBRIDGE COOP OIL CO,BOX 370,CAMBRIDGE,NE,69022,7,4/13/91,WEST HWY 6 & 34,INDIANOLA,RED WILLOW,GASOLINE & DIESEL,5814,CAMBRIDGE COOP
051695-JB-0830,9,CARL'S 66 SERVICE,220 N DOWNING ST,FREMONT,NE,68025,7,5/15/95,325 E ELKHORN ST,ARLINGTON,WASHINGTON,GASOLINE,5163,CARLS 66 SERVICE
123191-TH-1114,T,CARLS STANDARD,148 S 15TH ST,ORD,NE,68862,7,11/4/91,148 S 15TH ST,ORD,VALLEY,GASOLINE,6618,CARLS STANDARD
080691-MF-0830,9,CARPENTER OIL & PROPANE,120 E. BROADWAY,STERLING,NE,68443,7,4/17/91,120 E BROADWAY,STERLING,JOHNSON,GASOLINE,5711,CARPENTER OIL & PROPANE
051694-CT-1440,T,CARRIAGE INC,206 S 6TH BOX 703,BEATRICE,NE,68310,7,3/2/94,501 MARKET,BEATRICE,GAGE,USED OIL,896,CARRIAGE INC
010512-NM-1445,T,CASEYS GENERAL STORE,ONE CONVENIENCE BLVD,ANKENY,IA,50021,7,1/5/12,1404 W 2ND ST,GRAND ISLAND,HALL,GASOLINE,5668,CASEYS GENERAL STORE 2882
080906-TH-1120,T,CASEYS GENERAL STORE,ONE CONVENIENCE BLVD,ANKENY,IA,50021,7,7/11/06,13941 HWY 6,WAVERLY,LANCASTER,GASOLINE,12023,CASEYS GENERAL STORE 2714
090506-TH-0855,T,CASEYS GENERAL STORE,ONE CONVENIENCE BLVD,ANKENY,IA,50021,7,8/2/06,407 E 7TH ST,WAYNE,WAYNE,GASOLINE,4810,CASEYS GENERAL STORE 2738
102908-NM-1022,1,CASEYS GENERAL STORE,ONE CONVENIENCE BLVD,ANKENY,IA,50021,7,10/28/08,2243 N COTNER,LINCOLN,LANCASTER,GASOLINE,6684,CASEYS GENERAL STORE
121796-GW-1700,9,CCE PROPERTIES,8201 ROBIN HILL AVE,OMAHA,NE,68127,7,6/3/96,13525 MILLARD AVE,OMAHA,DOUGLAS,GASOLINE,7780,BIG RED MINI MART
010695-CT-0945,9,"CDHR, INC",P.O. BOX 313,ELGIN,NE,68636,7,12/1/94,2ND & BEECH SW CRNR (HWY 14),ELGIN,ANTELOPE,WASTE OIL,11290,THE STATION (CDHR)
10119-KAM-1100,9,CEDAR VALLEY COOPERATIVE,BOX 190,CEDAR RAPIDS,NE,68627,7,10/10/89,3RD & C ST,BELGRADE,NANCE,GASOLINE & DIESEL,5933,CEDAR VALLEY COOPERATIVE
040805-DM-1053,9,CENTERGAS INC,227 4TH AVE,HOLDREGE,NE,68949,7,4/8/05,227 4TH AVE,HOLDREGE,PHELPS,GASOLINE,404,PAUL'S CONOCO
011990-GW-0837,9,CENTERGAS INC,1500 AMARILLO NAT BA,AMARILLO,TX,79101,7,1/19/90,HWY 283 & HWY 6,ARAPAHOE,FURNAS,GASOLINE,402,B & K CONOCO
102898-TH-1109,2,CENTERGAS INC,PO BOX 31480,AMARILLO,TX,79120,7,7/10/98,302 W FIRST,SUPERIOR,NUCKOLLS,DIESEL,403,CENTERGAS ALMA BULK PLANT
030393-QK-1200,2,CENTERVILLE SERVICE,PO BOX 54,SPRAGUE,NE,68438,7,8/5/91,1405 W ROCA RD,MARTELL,LANCASTER,GASOLINE,4891,CENTERVILLE SERVICE
060299-CT-0720,9,CENTRAL FARMERS COOP,PO BOX 330,ONEILL,NE,68763,7,3/2/99,MONTANA & RENO ST SE CRNR,CLEARWATER,ANTELOPE,GAS & DIESEL,5762,CENTRAL FARMERS COOP
062491-JB-1522,3,CENTRAL OIL & TIRE,ELM & HWY 20,PLAINVIEW,NE,68769,7,6/3/91,ELM & HWY 20,PLAINVIEW,PIERCE,GASOLINE DIESEL & WASTE OIL,2665,CENTRAL OIL & TIRE
011510-KM-1621,T,CENTRAL VALLEY AG COOP,PO BOX 330,O'NEILL,NE,68763,6,1/15/10,HIGHWAY 135,CREIGHTON,KNOX,GASOLINE,,CENTRAL VALLEY AG BULK
032211-PH-0950,1,CENTRAL VALLEY AG COOP,1007 COUNTY RD O,OAKLAND,NE,68045,7,3/22/11,107 W 2ND ST,OAKLAND,BURT,DIESEL FUEL,2161,CENTRAL VALLEY AG
113012-NM-1001,T,CENTRAL VALLEY AG COOP,PO BOX 125,OAKLAND,NE,68045,6,10/15/11,S OF 3RD ST,UEHLING,DODGE,GASOLINE & DIESEL,,CENTRAL VALLEY AG PARC 2
060798-NM-0700,T,CERTIFIED TRANSMISSION,1801 S 54TH ST,OMAHA,NE,68106,7,1/12/98,1303 FORT CROOK RD,BELLEVUE,SARPY,GASOLINE & DIESEL,6567,CERTIFIED TRANSMISSION
112398-CT-1500,3,CHIEF SWEENY INC,319 S 11TH ST,MEBRASKA CITY,NE,68410,7,6/10/98,319 S 11TH ST,NEBRASKA CITY,OTOE,GASOLINE,3935,TOTAL STATION
102293-CT-0750,9,CIRCLE H SERVICE,102 E 5TH,LAUREL,NE,68745,7,8/4/93,103 W 2ND,LAUREL,CEDAR,GASOLINE,6800,CIRCLE H SERVICE
062695-GW-1000,9,CITY LIMITS,200 S 2ND ST,ELGIN,NE,68636,13,2/16/95,200 S 2ND ST,ELGIN,ANTELOPE,GASOLINE,4093,CITY LIMITS
101314-JF-1445,T,CITY OF BELLEVUE,1520 WALL ST,BELLEVUE,NE,68005,13,10/6/14,13501 S 25TH ST,BELLEVUE,SARPY,GASOLINE,11476,BELLEVUE FIRE DEPT #4
101295-GW-1000,T,CITY OF BLAIR,218 S 16TH ST,BLAIR,NE,68008,7,9/26/95,900 E FAIRVIEW DR,BLAIR,WASHINGTON,DIESEL,5766,WASTE WATER TREATMENT PLT
062692-TH-1447,T,CITY OF CHADRON,234 MAIN ST.,CHADRON,NE,69337,7,6/2/92,W. HWY 20,CHADRON,DAWES,GASOLINE,4487,GREENWOOD CEMETARY
02104-WCS-1415,9,CITY OF CRETE,"PO BOX 86, 243 E",CRETE,NE,68333,7,2/9/84,,CRETE,SALINE,DIESEL,3210,CITY OF CRETE
111992-CT-1155,T,CITY OF CRETE,243 E 13TH ST,CRETE,NE,68333,7,10/28/92,1540 LINDEN AVE,CRETE,SALINE,GASOLINE,3209,"CRETE, CTY OF-5TH & LINDE"
071493-NM-1400,2,CITY OF KIMBALL,223 S CHESTNUT,KIMBALL,NE,69145,7,11/1/90,100 SOUTH HOWARD,KIMBALL,KIMBALL,GAS,2009,KIMBALL MUNI POWER PLANT
010897-QK-1110,T,CITY OF LINCOLN,710 J ST,LINCOLN,NE,68508,7,7/8/96,710 J STREET,LINCOLN,LANCASTER,GASOLINE,1976,STARTRAN (LTS)
061094-CT-1305,T,CITY OF LINCOLN,901 N 6TH ST.,LINCOLN,NE,68508,7,3/29/94,3200 BALDWIN,LINCOLN,LANCASTER,GASOLINE AND DIESEL,1072,LINCOLN EQUIP MAINTENANCE
08277-BHI-0900,9,CITY OF LINCOLN,"129 N 10 ST, RM 103",LINCOLN,NE,68508,7,8/27/87,3645 ADAMS STREET,LINCOLN,LANCASTER,GASOLINE,1082,LINCOLN FOOD BANK
072092-NW-1310,9,CITY OF OGALLALA,411 E 2ND,OGALLALA,NE,69153,7,5/15/92,503 EAST 2ND,OGALLALA,KEITH,GASOLINE & DIESEL,5962,CITY OF OGALLALA
010797-NM-0830,T,CITY OF OMAHA,2608 LAKE ST,OMAHA,NE,68111,7,2/4/93,5600 S 10TH ST,OMAHA,DOUGLAS,DIESEL,247,MISSOURI SEWAGE TREATMENT
012492-CT-1125,T,CITY OF OMAHA,2608 LAKE ST,OMAHA,NE,68111,7,1/9/92,12400 W MAPLE,OMAHA,DOUGLAS,GASOLINE,245,TRANQUILITY PARK MAINT
052097-TH-0950,T,CITY OF OMAHA,2608 LAKE ST,OMAHA,NE,68111,7,5/7/97,6264 BUCKINGHAM AVE,OMAHA,DOUGLAS,GASOLINE,304,OMAHA PARKS MAINT FAC
061996-GW-1530,T,CITY OF OMAHA,2608 LAKE ST,OMAHA,NE,68117,7,10/23/92,2929 S 129TH AVE,OMAHA,DOUGLAS,"DIESEL, GASOLINE",275,OMAHA FIRE STATION 55
071693-NM-0930,2,CITY OF OMAHA,2608 LAKE ST,OMAHA,NE,68111,7,4/15/91,505 S 15TH,OMAHA,DOUGLAS,WASTE OIL,278,OMAHA POLICE DEPT
101493-NM-1345,2,CLARK BROS TRANSFER,,,,,7,9/30/91,4345 & 4423 67TH ST,OMAHA,DOUGLAS,GASOLINE& WASTE OIL,2505,CLARK BROS TRANSFER INC
050892-CT-0508,3,CLARK SERVICE,PO BOX 68,UNADILLA,NE,68454,7,5/8/92,9TH & E ST,UNADILLA,OTOE,GASOLINE AND DIESEL,5439,CLARK SERVICE
102411-JB-1705,9,CLARKSON COLLEGE TOWER,,,,,7,10/21/11,4350 DEWEY AVE,OMAHA,DOUGLAS,GASOLINE,,NMC CLARKSON MEM HOSPITAL
05215-DWZ-1531,9,CLARKSON OIL,211 FIRST,CLARKSON,NE,68629,7,5/20/85,211 FIRST,CLARKSON,COLFAX,UNLEADED & REGULAR,3634,CLARKSON OIL
122391-CT-0750,2,CLARKSON SERVICE,1207 SHERMAN ST,WAYNE,NE,68787,7,5/15/91,614 MAIN ST,WAYNE,WAYNE,DIESEL,5811,CLARKSON SERVICE
040611-JE-1346,1,CLASSIC AERO SERVICES INC,1402 N HWY 14,AURORA,NE,68818,6,,1402 N HWY 14,AURORA,HAMILTON,WASTE 100W AVIATION OIL,,CLASSIC AERO SERVICE
07030-STM-1415,2,"CLEMENTS, DELBERT",6431 WWESTMINSTER CT,LINCOLN,NE,58410,7,4/2/90,1701 VAN DORN,LINCOLN,LANCASTER,GASOLINE,1273,WEAVER OIL COMPANY
082200-GW-1515,2,CLUGSGON-EKWALL OIL,PO BOX 27049,OMAHA,NE,68127,7,8/22/00,701 S BURLINGTON,HASTINGS,ADAMS,GASOLINE,7122,CLUGSTON-EKWALL OIL
103197-NM-1110,2,COASTAL MART,"110 S MAIN, STE 500",WICHITA,KS,67202,7,8/13/97,OLD HWY 34 & MAIN ST,BENKELMAN,DUNDY,DIESEL,7017,COASTAL MART #2550
11160-DDB-1500,T,COASTAL MART,9 GREENWAY PLAZA,HOUSTON,TX,77046,7,12/3/90,"STORE #1351, 1001 N JEFFERS",NORTH PLATTE,LINCOLN,GASOLINE,3078,COASTAL MART
101795-GY-1630,T,COASTAL REFINING & MARKET,1100 E 21ST,WICHITA,KS,67214,6,10/13/95,"HWY 281, E SIDE, N OF RAILROAD",CHESTER,THAYER,DIESEL #2,2994,FOOTE SERVICE
070391-MF-1330,9,COBB MOTORS INC,BOX C,STUART,NE,68780,7,4/3/91,INT. MAIN & HWY. 20,STUART,HOLT,DIESEL,1297,"COBB MOTORS, INC."
112393-CT-1015,9,CODY MOTOR CO,PO BOX 98,CODY,NE,69211,7,10/13/93,NEB AVE AND WALNUT ST,CODY,CHERRY,GASOLINE,4833,CODY MOTOR CO
120391-NH-1400,T,COLEMAN AMERICAN MVG SVC,PO BOX 1476,OMAHA,NE,68101,7,10/14/91,4880 F ST,OMAHA,DOUGLAS,GASOLINE,2496,COLEMAN AMERICAN MOVING
03080-KSA-1145,3,COMMERCIAL STATE BANK,401 NORTH CENTER,CLAY CENTER,NE,68933,7,3/6/90,401 NORTH CENTER-FORMER SERV.S,CLAY CENTER,CLAY,GASOLINE,1636,COMMERCIAL STATE BANK
042695-TH-0921,T,CON AGRA,3619 DOOLITTLE PLZ,OMAHA,NE,68110,7,3/24/95,3619 DOOLITTLE PLAZA,OMAHA,DOUGLAS,USED OIL,6902,CON AGRA INC
122310-NM-1030,T,CON AGRA,,,,,14,12/23/10,3092 LEAVENWORTH ST,OMAHA,DOUGLAS,DIESEL/HEATING OIL,12491,PREMIERE PLASTICS
050198-NH-0700,9,CONELL HARDWARE & FARM,480 2ND ST,UTICA,NE,68456,7,4/20/98,480 2ND ST,UTICA,SEWARD,GASOLINE & DIESEL,4141,CONNEL HARDWARE & FARM
082703-NM-1005,9,CONOCO PHILLIPS,1234 PHILLIPS BLD,BARTLESVILLE,OK,74004,6,6/26/03,11712 EAST US HWY 30,SIDNEY,CHEYENNE,PETROLEUM,7313,HOLLYFRONTIER
053096-GW-1510,3,CONOCO SERVICE,2107 W 2ND ST,GRAND ISLAND,NE,68801,7,5/30/96,2107 W 2ND ST,GRAND ISLAND,HALL,GASOLINE & DIESEL,2333,CONOCO SERVICE
020998-NM-0700,2,CONTEMPORARY INDUSTRIES,711 N 108TH CT,OMAHA,NE,68154,7,8/28/97,2911 O ST,LINCOLN,LANCASTER,GASOLINE,469,7-ELEVEN STORE 203
071693-NM-1015,2,CONTEMPORARY INDUSTRIES,711 N 108TH CT,OMAHA,NE,68108,7,10/26/90,1222 S 24TH,OMAHA,DOUGLAS,GAS DIESEL,465,7-ELEVEN 118
102896-GW-1800,2,CONTEMPORARY INDUSTRIES,711 N 108TH ST,OMAHA,NE,68154,7,10/28/96,3352 N 108TH ST,OMAHA,DOUGLAS,GASOLINE,461,7-ELEVEN 111
110494-JB-1350,2,CONTEMPORARY INDUSTRIES,711 N 108 COURT,OMAHA,NE,68154,7,10/3/94,12011 BLONDO,OMAHA,DOUGLAS,GASOLINE,464,7-11 FOOD STORE 117
111296-GW-1100,2,CONTEMPORARY INDUSTRIES,711 N 108TH CRT,OMAHA,NE,68154,7,11/11/96,1010 SOUTH 154TH ST,OMAHA,DOUGLAS,GASOLINE,466,7-11 #119
062497-GW-0800,2,CONTEMPORARY PETROLEUM,711 N 108TH COURT,OMAHA,NE,68154,7,6/23/97,4122 AMES AVENUE,OMAHA,DOUGLAS,GASOLINE,456,7-ELEVEN 123
071097-NM-1115,2,CONTINENTAL CARE,,,,,14,4/8/94,4809 REDMAN AVE,OMAHA,DOUGLAS,DIESEL,11124,OAK GROVE MANOR
092199-TH-1314,2,CONVENIENCE FOOD MART,7210 HARRISON,OMAHA,NE,68128,7,10/6/98,7210 HARRISON,LA VISTA,DOUGLAS,GASOLINE,7375,CONVENIENT FOOD MART 1722
103091-KM-1625,2,COOK OIL CO,534 S KANSAS AVE,TOPEKA,KS,66603,7,10/30/91,4414 S 84TH,OMAHA,DOUGLAS,GAS DIESEL,7845,PUMP & MUNCH III
032891-MF-1700,9,COOP BRADSHAW,PO BOX 3,YORK,NE,68467,6,3/28/91,BRADSHAW COOP,BRADSHAW,YORK,UNKNOWN,,UNITED FARMERS COOP
04090-DWT-0800,9,COOP CHAPPELL,434 FIRST STREET,CHAPPELL,NE,69129,7,1/19/90,434 FIRST STREET,CHAPPELL,DEUEL,"G,D,WASTE OIL",3145,COOP CHAPPELL
01080-JHB-1315,2,COOP- UTICA,780 D STREET,UTICA,NE,68456,7,1/4/89,780 D ST.,UTICA,SEWARD,GASOLINE,2727,FARMERS COOP ASSOCIATION
03200-KAM-0800,9,COOP-FARMERS(BIG SPRINGS),BOX 437,BIG SPRINGS,NE,69122,7,2/28/90,PINE & RAILROAD STREET,BIG SPRINGS,DEUEL,"PETROLEUM""""",1370,COOP-FARMERS(BIG SPRINGS)
09119-KSA-0900,9,COOP-NEWMAN GROVE,6TH AND BORDWELL,NEWMAN GROVE,NE,68758,7,6/6/89,6TH AND BORDWELL,NEWMAN GROVE,MADISON,DIESEL OIL AND WASTE OIL,3179,COOP-NEWMAN GROVE
02070-KAM-0800,9,"COOP, FARMERS-RED CLOUD",EAST HWY 136,RED CLOUD,NE,68970,7,2/6/90,HWY 4,LAWRENCE,NUCKOLLS,GASOHOL,2936,FARMER'S COOP
020609-KM-1600,T,COOPER EQUIPMENT CO,8530 N 85TH,OMAHA,NE,68134,6,2/6/09,3441 S 66TH ST,OMAHA,DOUGLAS,GASOLINE,,NEBRASKA-IOWA SUPPLY
071693-NM-1030,2,COORS DISTRIBUTTING CO,11112 I STREET,OMAHA,NE,68137,7,5/6/91,11112 I STREET,OMAHA,DOUGLAS,GASOLINE,2502,COORS DISTRIBUTING CO
070693-QK-1000,9,COOVERS SERVICE,805 E 2ND ST,NELIGH,NE,68756,7,5/23/91,HIWAY 275,NELIGH,ANTELOPE,GASOLINE,1550,COOVERS SKELLY SERVICE
092807-SM-0833,2,CORDES & COMPANY,5299 DTC BLVD SU 815,GREENWOOD VILLAGE,CO,80111,7,8/2/07,2801 NW 48TH ST,LINCOLN,LANCASTER,GASOLINE,7692,MICHAEL MART
113001-JB-1115,3,CORNER SERVICE,406 W SALINE,CRETE,NE,68333,7,11/29/01,"101 N LIBERTY, NE CRNR SALINE",BLUE HILL,WEBSTER,GASOLINE,5796,CORNER SERVICE
071693-NM-1035,2,CORNER TIRE,7134 PACIFIC,OMAHA,NE,68106,7,10/24/90,7152 PACIFIC,OMAHA,DOUGLAS,GASOLINE,2491,CORNER STORE
030292-CT-1150,3,CORNHUSKER PETROLEUM,6215 GROVER ST,OMAHA,NE,68101,7,9/23/91,8928 MAPLE ST,OMAHA,DOUGLAS,GAS,552,COOKIES
042392-CT-1350,T,CORNHUSKER PETROLEUM,6215 GROVER ST,OMAHA,NE,68106,7,9/12/91,1720 GALVIN ROAD,BELLEVUE,SARPY,GASOLINE & WASTE OIL,884,FANTASY FOOD-N-FUEL
08100-DEB-1300,2,CORNHUSKER PETROLEUM,6215 GROVER ST,OMAHA,NE,68106,7,4/3/90,8107 DODGE ST,OMAHA,DOUGLAS,GASOLINE,,FILL N FAST
092697-GW-1345,9,CORNLEA GARAGE,RT 1 BOX 300,CORNLEA,NE,68642,7,6/28/91,NORTH OF TOWN,CORNLEA,PLATTE,GASOLINE AND DIESEL,8188,CORNLEA GRARAGE
101394-CT-0900,T,CORTLAND GARAGE,BOX 308,CORTLAND,NE,68331,7,8/3/94,205 N HWY 77 BOX 308,CORTLAND,LANCASTER,GASOLINE & DIESEL,7290,CORTLAND GARAGE
031894-GW-1515,2,COUNTRYSIDE COOP,P.O. BOX 406,SEWARD,NE,68434,7,2/11/91,407 1ST ST,MILFORD,SEWARD,GAS,119,FARMLAND COOP INC
080598-TH-0829,2,COUNTRYSIDE COOP,101 N WALNUT,MILFORD,NE,68405,7,5/28/98,412 SEWARD ST,SEWARD,SEWARD,"GASOLINE, DIESEL",2730,COUNTRYSIDE COOP ASSN
102894-GW-1500,2,CREIGHTON BUS SERVICE,PO BOX 194,CREIGHTON,NE,68729,7,10/28/94,708 1/2 LAKE ST,CREIGHTON,KNOX,GASOLINE,4602,CREIGHTON BUS SERVICE
010899-CT-0925,2,CREST PETROLEUM,299 N 115TH ST,OMAHA,NE,69154,7,10/15/98,114TH & BURKE BLVD,OMAHA,DOUGLAS,GASOLINE,4025,CONVENIENT FOOD MART
10129-DWT-1600,9,CRETE CARRIER CORP,PO BOX 83246,LINCOLN,NE,68501,7,7/26/89,840 W 'O' STREET,LINCOLN,LANCASTER,GAS,6519,CRETE CARRIER CORP
06068-DBH-0000,9,CRETE LUMBER&FARM SUPPLY,WEST HIGHWAY 33,CRETE,NE,68333,7,8/17/88,HWY 33 AND ARIZONA,CRETE,SALINE,GASOLINE,4840,CRETE LUMBER&FARM SUPPLY
081198-GY-1425,T,CRETE MILLS,PO BOX 308,CRETE,NE,68333,14,8/11/98,14TH & NORMAN STREETS,CRETE,SALINE,HEATING OIL,1967,CRETE MILLS
061292-NC-0800,9,CROWN PRODUCTS CO,PO BOX 27087,RALSTON,NE,68127,6,5/30/92,5718 S 78TH ST,RALSTON,DOUGLAS,HYDROCARBON,,CROWN PRODUCT
11070-EPP-1330,9,CRYSTAL OIL CO.,HWY 77 S,S.SIOUX CITY,NE,68776,7,10/23/90,HWY 77 S.,SOUTH SIOUX CITY,DAKOTA,GASOLINE,2225,CRYSTAL OIL
011712-TH-1310,T,CUBBYS INC,,,,,7,,1404 S WASHINGTON ST,PAPILLION,SARPY,,7137,CUBBYS
032211-PH-0800,T,CUSTER CO DOR,43700 RYNO RF,BROKEN BOW,NE,68822,6,3/22/11,43700 RYNO RD,BROKEN BOW,CUSTER,DIESEL,,NDOR CUSTER CO HWY DEPT
030303-DB-1415,9,D & S OIL & PROPANE INC,115 W FRONT ST,EWING,NE,68735,6,2/15/97,"HWY 275 BETW ELM & MAIN, S SID",EWING,HOLT,GASOLINE,,FORMER D & S OIL / COOP
110791-CT-1105,2,D W CLARKE INC,3903 ASHFORD LAKE CT,ATLANTA,GA,30319,7,11/7/91,"2ND & BURLINGTON,GLASS CONNECT",HASTINGS,ADAMS,GASOLINE WASTE OIL,3262,D W CLARKE INC
08048-DBH-1130,T,D&H SERVICE,BOX 130,NORTH LOUP,NE,68659,7,8/4/88,1ST & MAIN STREETS,NORTH LOUP,VALLEY,GASOLINE,4058,D & H SERVICE
092500-QK-1545,9,DANNEBROG AUTO SERVICE,"HWY 58, PO BOX 57",DANNEBROG,NE,68831,7,9/25/00,114 ROGER WELSCH AVE,DANNEBROG,HOWARD,GASOLINE,2120,DANNEBROG AUTO SERVICE
112999-CT-1300,9,DAVE'S STANDARD SERVICE,RR 3,BLOOMFIELD,NE,68718,7,9/14/90,113 E MAIN,BLOOMFIELD,KNOX,GAS & DIESEL,6088,DAVE'S STANDARD SERVICE
020998-GW-0938,9,DAWSON OIL & TRANSPORT CO,223 N. 16TH STREET,NEBRASKA CITY,NE,68410,7,11/19/97,1649 S 11TH,NEBRASKA CITY,OTOE,"GASOLINE, DIESEL & WASTE OIL",6748,DAWSON OIL & TRANSPORT CO
061413-PH-1055,9,DC WEST MIDDLE SCHOOL,800 N FRONT ST,WATERLOO,NE,68068,14,6/6/13,800 N FRONT ST,WATERLOO,DOUGLAS,HEATING OIL,12583,DC WEST MIDDLE SCHOOL
102011-NM-1024,T,DEAN GOAD,416 PLATTE RIVER RD,GOTHENBURG,NE,69138,6,10/20/11,102 WEST 8TH STREET,GOTHENBURG,DAWSON,GASOLINE & DIESEL,,BULK FACILITY
060799-TH-1311,9,DEAN WIEBELHAUS,BOX 149,FORDYCE,NE,68736,7,12/14/98,55806 888TH RD,FORDYCE,CEDAR,"GASOLINE, DIESEL",5283,DEAN WIEBELHAUS
